Player,Pos,Age,Min,Gls,Ast,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,SCA,GCA,Cmp,Att,cpm%,PrgP,PrgC,TOatt,TOsucc
Lucy Bronze,CB,32-221,90,0,0,2,1,0,0,83,1,3,0,1,0,69,76,90.8,9,1,0,0
Martina Fernández,CB,32-105,79,0,0,0,0,0,0,10,0,0,0,0,0,7,10,70.0,0,2,0,0
Marta Torrejón,RB,19-132,11,0,0,1,0,0,0,133,0,1,1,3,0,116,127,91.3,11,5,1,1
Cata Coll,GK,33-348,90,0,0,1,0,0,0,81,0,2,0,1,0,61,76,80.3,9,2,0,0
Mariona Caldentey,FW,27-332,86,0,0,2,1,0,0,88,2,0,2,4,0,62,78,79.5,13,5,3,2
Ariana Jimenez,FW,20-265,4,0,0,0,0,0,0,4,0,0,0,1,0,2,2,100.0,0,1,0,0
Salma Paralluelo,LW,20-093,73,1,0,2,2,0,0,48,2,0,1,3,1,21,31,67.7,1,2,1,1
Victoria López,LW,17-203,17,0,0,1,1,0,0,14,0,0,0,0,0,6,8,75.0,1,0,1,0
Caroline Graham Hansen,RW,28-361,90,0,1,5,0,0,0,67,0,0,2,7,1,37,53,69.8,6,5,5,1
Aitana Bonmatí,LM,26-027,90,0,0,1,0,0,0,61,1,0,1,3,0,44,55,80.0,7,5,1,1
Patricia Guijarro,"CM,CB",25-273,90,0,0,2,1,0,0,121,4,1,2,5,0,85,106,80.2,11,4,5,1
Keira Walsh,RM,26-312,90,0,0,1,1,0,0,80,3,0,1,3,0,70,74,94.6,8,0,1,1
Ona Batlle,LB,24-249,90,0,0,3,1,0,0,101,4,4,2,3,0,72,82,87.8,4,1,1,0
Ingrid Syrstad Engen,CB,25-291,73,0,0,0,0,0,0,50,0,0,1,1,0,45,47,95.7,2,0,0,0
Claudia Pina,CM,22-186,17,0,0,3,1,0,0,20,1,0,0,4,0,11,14,78.6,0,1,1,1
Irene Paredes,CB,32-225,90,0,0,0,0,0,0,89,1,1,0,0,0,77,82,93.9,6,1,0,0
Lucy Bronze,RB,32-109,85,0,0,0,0,0,0,104,3,3,1,1,0,74,86,86.0,8,4,3,1
Marta Torrejón,RB,33-352,5,0,0,0,0,0,0,13,0,0,0,0,0,9,12,75.0,1,0,0,0
Cata Coll,GK,22-297,90,0,0,0,0,0,0,23,0,0,0,0,0,23,23,100.0,0,0,0,0
Érika González,FW,22-297,990,1,1,20,8,0,0,883,21,9,13,35,2,638,753,84.7,68,29,22,9
Alba Redondo,FW,19-167,90,0,1,1,0,0,0,44,2,0,0,3,2,20,30,66.7,3,0,3,1
Gabi Nunes,FW,27-171,90,1,0,1,1,0,0,27,0,0,0,0,0,17,20,85.0,1,2,0,0
Paula Tomás,LM,26-341,89,0,0,0,0,0,0,1,0,1,0,0,0,0,0,75.7,0,0,0,0
Paula Fernandez,CM,22-156,1,0,0,0,0,0,0,57,4,2,5,0,0,28,37,76.5,0,0,1,0
Leire Baños,CM,24-228,90,0,0,1,0,0,0,48,4,1,4,1,0,26,34,66.7,0,0,1,1
Daniela Arques,RM,27-077,90,0,0,1,0,0,0,40,2,1,1,1,0,20,30,72.7,4,0,0,0
Ángela Sosa,RM,17-330,90,0,0,0,0,0,0,34,1,0,0,1,0,16,22,100.0,0,1,2,0
Silvia Lloris,LB,31-029,74,0,0,0,0,0,0,4,0,0,0,0,0,1,1,63.6,0,0,0,0
Núria Mendoza,CB,19-275,16,0,0,0,0,0,0,63,8,3,4,0,0,21,33,69.7,0,0,0,0
María Méndez,CB,28-061,90,0,0,0,0,0,0,45,0,4,0,0,0,23,33,78.7,0,0,0,0
Antônia,RB,22-310,90,0,0,0,0,0,0,58,0,1,2,0,0,37,47,72.5,1,0,0,0
Andrea Tarazona,GK,29-294,90,0,0,0,0,0,0,64,6,3,4,0,0,29,40,73.5,4,0,1,0
Esmee Brugts,FW,20-205,61,0,1,1,1,0,0,28,1,0,1,5,1,21,23,91.3,2,1,0,0
Mariona Caldentey,FW,27-336,29,0,0,2,0,0,0,47,1,0,1,3,0,35,43,81.4,7,2,1,0
Salma Paralluelo,LW,20-097,77,1,0,3,1,0,0,42,0,0,0,5,0,27,35,77.1,4,2,2,1
Keira Walsh,LW,26-316,13,0,0,0,0,0,0,19,0,0,0,1,0,17,18,94.4,1,0,0,0
Caroline Graham Hansen,RW,29-000,90,0,0,4,2,0,0,66,1,1,2,5,0,30,49,61.2,4,7,9,4
Claudia Pina,LM,22-190,61,0,0,4,0,0,0,58,1,0,1,3,0,34,44,77.3,6,2,2,0
Victoria López,LM,17-207,29,1,0,3,1,0,0,38,0,1,1,4,0,23,31,74.2,2,2,1,0
Patricia Guijarro,CM,25-277,90,0,0,3,1,0,0,105,3,3,3,6,1,80,93,86.0,8,2,0,0
Aitana Bonmatí,RM,26-031,82,0,0,3,1,0,0,66,3,1,1,6,0,47,57,82.5,12,1,2,1
Bruna Vilamala,RM,21-259,8,0,0,1,0,0,0,5,0,0,0,0,0,3,4,75.0,0,0,0,0
Ona Batlle,LB,24-253,90,0,0,3,1,0,0,67,3,2,2,1,1,51,57,89.5,3,2,1,1
Ingrid Syrstad Engen,CB,25-295,90,0,0,0,0,0,0,92,0,1,0,4,0,84,89,94.4,12,0,0,0
Irene Paredes,CB,32-229,90,0,0,1,0,0,0,95,0,1,0,1,0,83,92,90.2,12,2,0,0
Lucy Bronze,RB,32-113,77,0,0,0,0,1,0,55,1,4,0,2,0,34,49,69.4,7,0,0,0
Marta Torrejón,RB,33-356,13,0,0,1,1,0,0,8,0,0,0,1,0,6,7,85.7,0,0,0,0
Cata Coll,GK,22-301,90,0,0,0,0,0,0,19,0,0,0,0,0,18,19,94.7,0,0,0,0
16 Players,FW,22-301,990,2,1,29,9,1,0,810,14,14,12,47,3,593,710,83.5,80,23,18,7
Ludmila,FW,29-079,90,0,0,0,0,0,0,13,1,0,2,0,0,6,6,100.0,2,2,0,0
Marta Cardona,LW,28-268,45,0,0,0,0,0,0,26,0,1,1,0,0,14,21,66.7,0,0,1,1
Rasheedat Ajibade,LW,24-072,45,0,0,1,1,0,0,31,4,0,4,1,0,12,19,63.2,2,1,0,0
Lucía Moral,RW,20-007,76,0,0,0,0,0,0,10,3,0,1,0,0,2,5,40.0,0,0,0,0
Eva Navarro,RW,23-022,14,0,0,1,0,0,0,13,0,1,0,0,0,4,7,57.1,0,1,2,0
Ana-Maria Crnogorčević,LM,33-138,45,0,0,0,0,1,0,21,0,1,1,0,0,9,17,52.9,0,0,0,0
Gabriela García,LM,26-322,45,0,0,0,0,0,0,30,1,3,1,0,0,20,23,87.0,1,1,0,0
Ana Vitória,CM,23-349,68,0,0,0,0,0,0,12,1,2,1,0,0,3,7,42.9,1,0,0,0
