Player,Pos,Age,Min,Gls,Ast,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,SCA,GCA,Cmp,Att,cpm%,PrgP,PrgC,TOatt,TOsucc
Ingrid Stenevik,CB,29-177,90,0,0,0,0,0,0,38,3,0,2,0,0,25,28,89.3,0,0,0,0
Aurora Mikalsen,GK,27-365,90,0,0,0,0,0,0,46,0,0,0,0,0,22,38,57.9,0,0,0,0
16 Players,FW,27-365,990,1,0,4,2,2,0,498,20,5,21,3,1,272,369,73.7,7,4,15,6
Mariona Caldentey,"FW,LW",28-001,90,0,0,4,3,0,0,63,0,0,2,7,0,45,51,88.2,8,3,1,1
Claudia Pina,LW,22-221,78,0,0,0,0,0,0,11,1,0,0,1,0,7,10,70.0,0,0,0,0
Salma Paralluelo,"FW,RW",20-128,12,1,0,8,3,0,0,56,4,0,1,4,0,35,39,89.7,0,3,4,1
Victoria López,RW,17-238,88,0,0,0,0,0,0,4,0,0,0,0,0,2,3,66.7,0,0,0,0
Caroline Graham Hansen,"RW,LW",29-031,2,1,0,7,2,0,0,68,2,0,2,10,2,44,52,84.6,7,3,5,3
Esmee Brugts,LM,20-236,88,0,0,0,0,0,0,5,1,0,0,0,0,4,6,66.7,0,0,0,0
Patricia Guijarro,LM,25-308,2,0,0,3,0,0,0,107,2,2,2,5,1,85,96,88.5,16,0,1,1
Alexia Putellas,CM,30-045,72,0,0,0,0,0,0,25,2,0,0,2,0,16,23,69.6,1,0,0,0
Keira Walsh,RM,26-347,18,0,0,0,0,0,0,93,1,1,1,7,0,80,87,92.0,6,1,1,1
Aitana Bonmatí,LB,26-062,90,0,0,4,2,0,0,84,4,0,2,10,1,57,66,86.4,9,5,4,1
Ona Batlle,LB,24-284,90,0,0,1,0,0,0,69,2,0,1,2,0,58,60,96.7,3,4,3,1
Fridolina Rolfö,CB,30-117,72,0,0,0,0,0,0,15,0,0,1,0,0,11,13,84.6,0,0,1,1
Ingrid Syrstad Engen,CB,25-326,18,0,0,0,0,0,0,108,1,0,0,3,0,100,106,94.3,4,1,0,0
Irene Paredes,RB,32-260,90,0,0,4,0,0,0,127,3,1,0,0,0,111,118,94.1,5,0,0,0
Lucy Bronze,GK,32-144,90,0,0,1,1,0,0,129,3,1,1,6,0,99,119,83.2,10,2,1,0
Signe Bruun,FW,25-353,61,0,0,0,0,0,0,12,0,0,0,0,0,6,10,60.0,2,0,0,0
Caroline Møller,FW,25-096,29,0,0,0,0,0,0,7,0,0,0,0,0,1,2,50.0,0,0,0,0
Linda Caicedo,"LW,DM",19-031,72,0,0,0,0,0,0,25,0,1,0,0,0,16,19,84.2,1,2,0,0
Maite Oroz,DM,25-365,18,0,0,0,0,0,0,13,1,2,0,1,0,7,10,70.0,1,0,0,0
Athenea del Castillo,"RW,LW",23-152,82,0,0,0,0,1,0,24,4,1,1,0,0,2,6,33.3,0,1,1,0
Naomie Feller,LW,22-139,8,0,0,0,0,0,0,7,1,1,1,0,0,0,1,0.0,0,0,1,0
Sandie Toletti,AM,28-255,90,0,0,0,0,0,0,38,2,1,2,1,0,23,28,82.1,2,0,1,0
Claudia Zornoza,DM,33-156,61,0,0,0,0,0,0,32,1,0,0,0,0,20,26,76.9,2,0,0,0
Hayley Raso,"RW,DM",29-201,29,0,0,1,1,0,0,12,2,1,0,1,0,3,7,42.9,0,2,0,0
Teresa Abelleira,DM,24-075,82,0,0,1,0,0,0,37,3,4,2,0,0,21,25,84.0,2,0,0,0
Freja Olofsson,DM,25-305,8,0,0,0,0,0,0,5,1,0,0,1,0,4,4,100.0,2,0,0,0
Olga Carmona,LB,23-286,90,0,0,0,0,0,0,61,1,4,3,0,0,32,49,65.3,1,0,0,0
Ivana Andrés,CB,29-255,90,0,0,0,0,0,0,40,1,0,2,0,0,31,35,88.6,3,0,0,0
Rocío Gálvez,CB,26-344,90,0,0,0,0,0,0,30,0,1,2,0,0,14,19,73.7,0,0,0,0
Kenti Robles,RB,33-038,90,0,0,0,0,0,0,38,2,0,1,0,0,16,27,59.3,2,0,0,0
Misa Rodríguez,GK,24-246,90,0,0,0,0,0,0,45,0,0,0,0,0,28,43,65.1,0,0,0,0
16 Players,"FW,LW",24-246,990,0,0,2,1,1,0,426,19,16,14,4,0,224,311,72.0,18,5,3,0
Salma Paralluelo,LW,20-132,90,0,0,1,0,0,0,40,1,0,1,6,0,25,28,89.3,2,0,2,0
Claudia Pina,"FW,LW",22-225,90,0,0,2,0,0,0,34,0,1,0,0,0,24,29,82.8,0,0,0,0
Mariona Caldentey,RW,28-005,57,0,0,2,1,0,0,51,0,0,1,5,1,41,46,89.1,5,0,1,0
Caroline Graham Hansen,RW,29-035,33,1,1,7,2,0,0,64,2,0,4,9,3,29,47,61.7,3,6,6,5
Esmee Brugts,"LM,CM",20-240,75,0,0,0,0,1,0,9,0,0,0,1,0,6,9,66.7,0,1,0,0
Patricia Guijarro,CM,25-312,15,0,0,1,0,0,0,120,0,1,0,4,0,100,113,88.5,17,3,0,0
Keira Walsh,"LM,CM",26-351,90,0,0,0,0,0,0,45,0,0,0,2,0,43,44,97.7,4,0,0,0
Victoria López,RM,17-242,69,0,0,2,0,0,0,16,1,0,1,0,0,7,11,63.6,0,0,0,0
Aitana Bonmatí,RM,26-066,21,1,1,3,3,0,0,36,0,0,0,3,1,23,24,95.8,7,2,1,0
Alexia Putellas,LB,30-049,69,0,0,0,0,0,0,24,0,0,0,2,0,21,22,95.5,1,0,1,0
Fridolina Rolfö,RB,30-121,21,1,0,1,1,0,0,58,0,0,0,1,0,43,51,84.3,0,0,1,0
Marta Torrejón,CB,34-026,75,0,0,0,0,0,0,14,0,0,0,0,0,10,13,76.9,1,0,0,0
Ingrid Syrstad Engen,CB,25-330,15,0,0,0,0,0,0,156,2,2,0,0,0,145,149,97.3,10,0,0,0
Irene Paredes,"RB,LB",32-264,90,0,0,1,0,0,0,130,2,4,1,3,0,107,116,92.2,15,0,0,0
Ona Batlle,GK,24-288,90,0,1,0,0,0,0,79,4,1,3,2,1,58,65,89.2,3,1,0,0
Esmee Brugts,FW,20-244,70,0,1,3,1,0,0,30,0,0,0,2,1,16,19,84.2,2,0,2,0
Salma Paralluelo,FW,20-136,20,0,0,2,0,0,0,10,0,0,0,0,0,3,5,60.0,0,1,4,3
Mariona Caldentey,LW,28-009,83,0,0,2,0,0,0,74,3,2,4,5,0,47,56,83.9,3,4,5,2
Bruna Vilamala,LW,21-298,7,0,0,0,0,0,0,8,1,0,0,1,0,4,6,66.7,1,1,1,1
Caroline Graham Hansen,RW,29-039,90,0,0,5,4,0,0,57,2,0,2,9,1,32,43,74.4,5,7,10,7
Alexia Putellas,LM,30-053,70,0,0,3,0,0,0,64,3,0,2,4,1,42,54,77.8,7,0,1,0
Patricia Guijarro,LM,25-316,20,1,0,2,1,0,0,25,1,0,0,3,0,18,21,85.7,3,0,1,1
Keira Walsh,CM,26-355,90,0,0,2,0,0,0,58,2,1,1,3,0,46,50,92.0,0,0,1,0
Aitana Bonmatí,RM,26-070,90,1,1,4,1,0,0,90,3,0,1,11,2,66,76,86.8,8,4,7,4
Fridolina Rolfö,LB,30-125,90,1,0,2,1,0,0,70,2,2,0,2,0,48,62,77.4,0,1,0,0
Ingrid Syrstad Engen,CB,25-334,88,0,0,0,0,0,0,94,0,1,1,1,0,85,90,94.4,1,0,1,1
Martina Fernández,CB,19-179,2,0,0,0,0,0,0,2,0,0,0,0,0,2,2,100.0,0,0,0,0
Irene Paredes,CB,32-268,70,0,0,1,1,1,0,85,1,1,0,1,0,69,80,86.3,3,0,0,0
Marta Torrejón,CB,34-030,20,0,0,0,0,0,0,20,0,0,0,0,0,19,20,95.0,0,0,0,0
Lucy Bronze,RB,32-152,90,0,0,0,0,0,0,87,1,1,0,4,0,70,82,85.4,11,7,0,0
Cata Coll,GK,22-340,90,0,0,0,0,0,0,24,0,0,0,0,0,19,24,79.2,0,0,0,0
16 Players,"FW,AM",22-340,990,3,2,26,9,1,0,798,19,8,11,46,5,586,690,84.9,44,25,33,19
Larissa Crummer,AM,28-078,90,0,0,0,0,0,0,20,1,0,2,0,0,11,14,78.6,2,1,0,0
Rakel Engesvik,AM,25-187,90,0,0,0,0,0,0,16,1,0,2,1,0,6,10,60.0,3,0,1,0
Amalie Eikeland,"AM,CM",28-215,45,0,0,0,0,0,0,21,1,1,1,1,0,15,16,93.8,2,0,0,0
Signe Gaupset,CM,18-284,45,0,1,4,1,0,0,40,0,0,2,1,0,15,26,57.7,1,5,5,1
Karoline Heimvik Haugland,CM,26-034,90,0,0,0,0,0,0,39,1,0,2,3,1,22,26,84.6,1,0,1,1
Justine Kielland,"FW,AM",21-127,90,0,0,1,0,0,0,60,1,0,2,1,0,43,51,84.3,1,0,2,2
Anna Aahjem,WB,24-069,63,0,0,1,0,0,0,11,0,0,0,1,0,4,6,66.7,0,1,1,1
Marit Bratberg Lund,WB,26-142,27,0,0,0,0,0,0,21,0,0,0,2,0,11,17,64.7,0,0,1,0
Tomine Svendheim,"WB,CB",18-026,55,1,0,1,1,0,0,16,1,0,0,0,0,9,13,69.2,1,0,0,0
Cecilie Kvamme,CB,28-140,35,0,0,0,0,0,0,59,6,1,1,2,0,29,45,64.4,3,1,0,0
Joanna Tynnilä,CB,22-209,90,0,0,0,0,0,0,29,2,2,1,0,0,16,22,72.7,0,0,1,1
Sara Jane Ritter,CB,18-247,71,0,0,0,0,0,0,14,0,1,0,0,0,9,11,81.8,0,0,0,0
Marthine Østenstad,CB,23-010,19,0,0,0,0,0,0,63,2,1,6,1,1,35,44,79.5,0,0,0,0
Ingrid Stenevik,WB,29-185,90,0,0,0,0,1,0,47,1,1,1,0,0,28,34,82.4,2,0,0,0
Johanna Renmark,GK,20-178,71,0,0,0,0,0,0,11,1,0,1,0,0,6,9,66.7,0,0,0,0
Alba Redondo,FW,27-217,87,0,0,0,0,0,0,25,0,0,0,1,0,12,22,54.5,2,1,1,0
Leyre Secades,FW,15-344,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0,0,0,0
Gabi Nunes,FW,27-021,52,0,0,1,0,0,0,19,1,0,0,0,0,9,11,81.8,0,0,0,0
Nataša Andonova,FW,30-118,38,0,0,0,0,0,0,19,1,1,0,0,0,14,15,93.3,1,0,2,2
Érika González,LM,19-213,70,0,0,0,0,0,0,37,0,0,2,0,0,24,33,72.7,2,1,2,2
Estela Carbonell,LM,19-165,20,0,0,0,0,0,0,5,0,0,1,0,0,2,3,66.7,0,0,1,0
Leire Baños,CM,27-123,90,0,0,0,0,0,0,57,1,2,3,0,0,39,48,81.3,2,0,0,0
Daniela Arques,CM,18-010,52,0,0,0,0,0,0,27,1,1,0,0,0,18,25,72.0,0,0,0,0
Paula Fernandez,CM,24-274,38,0,0,0,0,0,0,29,0,3,0,0,0,18,23,78.3,0,0,0,0
Silvia Lloris,RM,19-321,90,0,0,0,0,0,0,87,5,0,4,1,0,50,64,78.1,2,0,0,0
Paula Tomás,LB,22-202,90,0,0,0,0,0,0,53,3,3,0,0,0,30,41,73.2,2,1,3,3
Núria Mendoza,CB,28-107,90,0,0,0,0,0,0,61,2,2,2,0,0,43,48,89.6,0,0,0,0
María Méndez,CB,22-356,90,0,0,0,0,0,0,67,1,5,2,0,0,44,55,80.0,0,0,0,0
Antônia,RB,29-340,70,0,0,0,0,0,0,54,6,5,2,0,0,29,37,78.4,0,0,2,0
María Gabaldón,RB,20-141,20,0,0,0,0,0,0,12,1,0,2,0,0,4,7,57.1,0,2,1,0
Andrea Tarazona,GK,20-010,90,0,0,0,0,0,0,53,0,0,1,0,0,40,46,87.0,0,0,0,0
16 Players,FW,20-010,990,0,0,1,0,0,0,606,22,22,19,2,0,376,479,78.5,11,5,12,7
Salma Paralluelo,LW,20-139,90,2,2,6,4,0,0,33,1,1,2,6,2,14,19,73.7,1,2,3,1
Esmee Brugts,"LW,RM",20-247,68,0,0,0,0,0,0,8,1,0,1,1,0,5,6,83.3,1,0,0,0
Claudia Pina,RW,22-232,22,0,0,5,1,0,0,84,2,1,3,9,2,58,67,86.6,10,1,2,1
Bruna Vilamala,RW,21-301,90,2,0,5,2,0,0,45,1,1,2,5,0,22,30,73.3,1,1,2,1
Caroline Graham Hansen,LM,29-042,68,0,0,1,1,0,0,26,0,0,1,2,0,12,17,70.6,0,2,3,0
Alexia Putellas,LM,30-056,22,0,0,1,1,0,0,70,5,0,0,4,1,47,56,83.9,9,1,3,1
Keira Walsh,CM,26-358,83,0,0,0,0,0,0,6,0,0,0,0,0,6,6,100.0,0,0,0,0
Patricia Guijarro,RM,25-319,7,0,0,0,0,0,0,95,2,1,1,1,0,79,92,85.9,7,0,0,0
Victoria López,FW,17-249,90,0,1,3,1,0,0,56,2,0,4,6,2,33,43,76.7,5,3,3,2
Mariona Caldentey,LB,28-012,68,0,0,2,1,0,0,26,1,0,0,2,0,14,20,70.0,3,0,0,0
Ona Batlle,CB,24-295,22,0,0,0,0,0,0,97,5,2,1,6,1,78,87,89.7,6,7,3,2
Irene Paredes,"CB,RB",32-271,90,0,0,0,0,0,0,86,1,4,0,1,0,75,80,93.8,13,1,0,0
Lucy Bronze,CB,32-155,76,0,0,0,0,0,0,24,1,0,0,0,0,20,23,87.0,3,2,0,0
Martina Fernández,"RB,CB",19-182,14,1,0,2,1,0,0,94,2,3,0,1,0,79,86,91.9,1,0,0,0
Marta Torrejón,GK,34-033,90,0,1,2,1,0,0,95,1,1,0,3,1,75,87,86.2,6,3,0,0
Salma Paralluelo,"FW,RW",20-152,90,2,0,4,2,0,0,36,2,0,1,2,0,17,26,65.4,0,1,2,0
Claudia Pina,LW,22-245,59,1,0,2,2,0,0,39,0,0,0,2,0,27,36,75.0,3,0,1,0
Victoria López,LW,17-262,31,0,0,0,0,0,0,25,2,0,0,1,0,17,21,81.0,3,3,0,0
Bruna Vilamala,RW,21-314,59,0,0,5,2,0,0,32,2,0,0,4,1,15,24,62.5,3,1,0,0
Fridolina Rolfö,"LB,RW",30-141,31,1,1,1,1,0,0,29,0,0,0,2,1,23,26,88.5,0,0,0,0
Alexia Putellas,LM,30-069,90,1,0,2,2,0,0,83,1,0,0,8,3,67,76,88.2,8,2,1,0
Patricia Guijarro,"CM,CB",25-332,90,0,0,0,0,1,0,129,3,1,1,4,1,106,123,86.2,20,4,0,0
Aitana Bonmatí,RM,26-086,90,0,1,2,0,0,0,74,1,0,0,4,1,56,66,84.8,15,6,4,1
Esmee Brugts,"LB,RW",20-260,70,0,0,1,0,0,0,68,3,0,1,0,0,42,59,71.2,2,4,3,1
Mariona Caldentey,"FW,RW",28-025,20,0,0,0,0,0,0,25,0,0,0,5,0,22,24,91.7,4,0,0,0
Martina Fernández,CB,19-195,70,0,1,1,1,0,0,75,0,1,0,2,2,65,72,90.3,14,2,0,0
Jana Fernández,CB,22-055,20,0,0,1,0,0,0,12,0,0,0,0,0,9,11,81.8,1,0,0,0
Marta Torrejón,"CB,RB",34-046,90,0,0,2,0,0,0,95,1,0,0,1,1,84,92,91.3,9,1,0,0
Lucy Bronze,RB,32-168,70,0,0,1,0,0,0,68,0,0,1,4,0,55,65,84.6,12,8,1,1
Keira Walsh,"CM,RB",27-005,20,0,0,0,0,0,0,9,0,0,0,1,0,9,9,100.0,1,0,0,0
Sandra Paños,GK,31-161,90,0,0,0,0,0,0,21,0,0,0,0,0,19,20,95.0,0,0,0,0
16 Players,FW,31-161,990,5,3,22,10,1,0,820,15,2,4,40,10,633,750,84.4,95,32,12,3
Tere Morató,FW,26-016,90,0,0,0,0,0,0,19,0,3,0,0,0,9,11,81.8,0,0,1,0
Lucía Romero,FW,21-154,82,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0.0,0,0,0,0
Kayla McKenna,FW,27-223,8,1,0,1,1,0,0,26,0,1,0,0,0,11,20,55.0,1,0,1,0
Thais Reiss,LM,24-126,82,0,0,0,0,0,0,2,0,0,0,0,0,0,0,60.9,0,0,0,0
Iglesias De La Cruz,CM,20-227,8,0,0,0,0,0,0,35,2,0,1,0,0,14,23,66.7,1,0,0,0
Paola Soldevila,CM,27-128,90,0,0,0,0,0,0,28,1,1,0,0,0,16,24,50.0,1,0,0,0
María Romero,CM,18-154,90,0,0,0,0,0,0,17,0,0,0,0,0,6,12,33.3,1,1,0,0
Mar Imbergamo,RM,21-154,76,0,0,0,0,0,0,5,0,0,0,0,0,1,3,73.7,0,0,0,0
Lucía Gómez,RM,27-185,14,0,1,0,0,0,0,29,3,1,0,1,1,14,19,33.3,2,1,2,1
Queralt Gómez,LB,26-322,70,0,0,0,0,0,0,4,0,0,0,0,0,1,3,58.8,0,0,0,0
Francisca Lara,CB,33-259,20,0,0,0,0,0,0,27,1,4,1,0,0,10,17,62.5,0,0,2,0
Cristina Cubedo,CB,24-175,90,0,0,0,0,0,0,29,0,2,2,0,0,10,16,71.4,0,0,0,0
Ainoa Campo,RB,27-301,90,0,0,0,0,0,0,24,2,2,1,0,0,10,14,68.4,0,0,1,0
Nerea Pérez Machado,RB,30-093,90,0,0,0,0,0,0,32,4,2,0,1,1,13,19,100.0,2,0,3,2
Rocío García,GK,22-206,71,0,0,0,0,0,0,6,0,0,0,0,0,4,4,40.0,0,0,1,0
Salma Paralluelo,FW,20-159,90,0,0,5,1,0,0,39,0,0,0,1,0,19,25,76.0,2,2,2,1
Mariona Caldentey,LW,28-032,72,0,0,1,0,0,0,51,1,0,0,2,0,34,41,82.9,2,1,3,0
Victoria López,LW,17-269,18,0,0,0,0,0,0,19,0,1,1,0,0,10,13,76.9,0,1,3,2
Caroline Graham Hansen,RW,29-062,90,0,0,0,0,0,0,34,1,0,1,3,0,19,27,70.4,5,3,1,0
Patricia Guijarro,LM,25-339,90,0,0,1,0,1,0,93,1,2,1,2,0,69,83,83.1,9,0,1,1
Keira Walsh,CM,27-012,90,0,0,0,0,0,0,70,1,1,3,0,0,55,62,88.7,4,0,0,0
Aitana Bonmatí,RM,26-093,90,0,0,1,0,0,0,63,1,1,1,3,0,47,54,87.0,3,2,4,3
Fridolina Rolfö,LB,30-148,90,0,0,0,0,0,0,85,7,0,0,4,0,59,77,76.6,7,2,2,1
Ingrid Syrstad Engen,CB,25-357,62,0,0,0,0,0,0,67,3,0,0,0,0,53,59,89.8,4,1,0,0
Alexia Putellas,CB,30-076,28,0,0,2,0,0,0,24,1,0,0,1,0,12,19,63.2,3,0,0,0
Irene Paredes,CB,32-291,90,0,0,1,0,1,0,90,4,2,1,0,0,68,81,84.0,3,0,0,0
Ona Batlle,RB,24-315,62,0,0,0,0,0,0,78,3,0,2,1,0,55,68,80.9,4,2,0,0
Lucy Bronze,RB,32-175,28,0,0,0,0,0,0,35,1,0,2,2,0,20,29,69.0,5,2,1,0
Cata Coll,GK,22-363,90,0,0,0,0,0,0,30,0,0,0,0,0,25,28,89.3,0,0,0,0
14 Players,FW,22-363,990,0,0,11,1,2,0,778,24,7,12,19,0,545,666,81.8,51,16,17,8
Mayra Ramírez,FW,25-028,90,0,0,1,0,0,0,25,0,1,0,2,0,10,14,71.4,1,2,5,4
Guro Reiten,FW,29-269,89,0,0,0,0,0,0,1,0,0,0,0,0,1,1,100.0,0,1,1,1
Lauren James,FW,22-204,1,0,0,3,0,0,0,29,0,3,0,0,0,17,22,77.3,1,0,1,1
Catarina Macario,CM,24-199,72,0,0,0,0,0,0,15,0,0,1,1,0,7,10,70.0,3,0,0,0
Sjoeke Nüsken,CM,23-089,18,0,1,0,0,0,0,26,1,1,0,1,1,13,22,59.1,1,0,0,0
Melanie Leupolz,CM,30-006,90,0,0,0,0,0,0,47,3,4,3,2,0,24,33,72.7,9,1,0,0
Erin Cuthbert,WB,25-276,90,1,0,1,1,0,0,44,4,1,2,1,1,23,29,79.3,4,0,0,0
Ashley Lawrence,WB,28-314,90,0,0,1,1,0,0,32,5,1,1,1,0,11,21,52.4,1,2,3,2
Johanna Rytting Kaneryd,CB,27-068,90,0,0,0,0,0,0,47,4,2,5,2,0,22,27,81.5,2,1,5,2
Niamh Charles,CB,24-304,90,0,0,1,0,0,0,59,4,2,1,1,0,30,43,69.8,2,0,0,0
Kadeisha Buchanan,CB,28-167,90,0,0,0,0,0,0,59,3,3,2,0,0,30,38,78.9,0,0,0,0
Jess Carter,GK,26-176,90,0,0,0,0,0,0,57,4,1,4,0,0,33,41,80.5,1,0,1,1
Irina Uribe,FW,25-270,90,1,1,1,1,0,0,20,0,0,1,1,1,11,14,78.6,4,2,1,0
Melanie Serrano,LM,34-195,90,0,0,0,0,1,0,27,5,1,0,1,0,5,14,35.7,0,1,3,1
Ghizlane Chebbak,CM,33-246,66,0,0,1,0,0,0,22,1,0,2,0,0,7,13,53.8,2,1,1,1
Anissa Lahmari,CM,27-067,24,0,0,2,1,0,0,11,1,1,0,0,0,2,7,28.6,0,0,1,1
Dominika Čonč,CM,31-114,87,0,0,1,0,0,0,23,3,0,5,1,0,4,10,40.0,0,0,0,0
Martina Rojo,CM,20-165,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0,0,0,0,0
Laura Martínez,RM,25-086,66,0,0,0,0,0,0,18,1,1,3,0,0,2,10,50.0,0,0,0,0
Bárbara Latorre,RM,31-041,24,0,0,0,0,0,0,8,1,1,2,2,0,2,4,47.8,1,1,2,1
Julia Mora,LB,26-193,90,0,0,0,0,0,0,26,0,1,0,1,0,11,23,14.3,0,0,1,0
Morgan Nicoli,CB,27-017,90,0,0,0,0,0,0,16,4,1,2,0,0,1,7,22.2,0,0,0,0
Yasmin Mrabet,CB,24-260,78,0,0,0,0,0,0,15,1,1,1,1,0,2,9,0.0,0,0,0,0
Nerea Carmona,CB,24-323,12,0,0,0,0,0,0,5,2,0,0,0,0,0,2,50.0,0,0,0,0
Berta Bou,CB,25-079,90,0,0,0,0,0,0,28,6,1,1,1,1,9,18,15.8,1,0,1,0
Allegra Poljak,RB,24-158,90,1,1,1,1,0,0,31,3,2,0,1,1,3,19,48.5,0,0,0,0
Nayluisa Cáceres,GK,24-158,90,0,0,0,0,0,0,35,0,0,0,0,0,16,33,41.0,0,0,0,0
Esmee Brugts,FW,20-271,990,2,2,6,3,1,0,285,28,10,17,9,3,75,183,88.0,8,5,10,4
Claudia Pina,LW,22-256,90,0,0,1,0,0,0,29,0,1,0,3,0,22,25,76.2,0,1,0,0
Mariona Caldentey,LW,28-036,90,2,0,6,4,0,0,54,0,1,0,4,2,32,42,78.1,2,2,2,1
Bruna Vilamala,RW,21-325,59,0,0,0,0,0,0,33,1,0,0,2,0,25,32,76.7,1,0,1,0
Alexia Putellas,LM,30-080,31,0,1,4,1,0,0,53,2,0,1,3,1,33,43,69.7,2,2,3,2
Keira Walsh,LM,27-016,90,0,0,0,0,0,0,35,0,0,0,3,0,23,33,88.6,6,0,0,0
Julia Bartel,CM,19-342,45,0,0,0,0,0,0,70,0,0,0,1,0,62,70,93.5,6,1,0,0
Victoria López,RM,17-273,45,0,0,1,1,0,0,99,2,2,0,2,0,87,93,84.4,14,3,1,0
Ariana Jimenez,RM,20-335,90,0,0,0,0,0,0,40,0,1,1,0,0,27,32,50.0,4,4,0,0
Lucía Corrales,LB,18-152,64,0,0,0,0,0,0,6,1,0,0,1,0,2,4,81.8,2,1,0,0
Ona Batlle,LB,24-319,26,0,0,0,0,0,0,49,0,0,1,2,0,36,44,79.6,1,2,2,1
Jana Fernández,CB,22-066,45,0,0,0,0,0,0,52,1,0,0,2,0,39,49,92.5,4,5,1,1
Marta Torrejón,"RB,CB",34-057,45,0,0,0,0,0,0,120,0,1,0,2,0,111,120,94.4,21,2,0,0
Lucy Bronze,RB,32-179,90,1,0,2,1,0,0,98,1,1,1,1,1,85,90,77.3,14,2,0,0
Martina Fernández,CB,19-206,90,0,1,0,0,0,0,46,1,0,0,2,1,34,44,87.1,6,4,1,1
Sandra Paños,GK,31-172,45,0,0,1,0,1,0,67,1,1,0,0,0,54,62,100.0,7,0,1,0
Catarina Macario,FW,24-206,62,0,0,1,1,0,0,34,0,0,2,1,0,18,26,69.2,2,1,3,3
Guro Reiten,FW,29-276,28,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0.0,0,0,0,0
Lauren James,FW,22-211,83,0,0,0,0,0,0,29,0,0,0,2,0,20,25,80.0,4,3,4,2
Fran Kirby,FW,30-303,7,0,0,0,0,0,0,6,1,0,0,0,0,3,5,60.0,0,0,0,0
Sjoeke Nüsken,CM,23-096,90,0,0,1,0,0,0,48,1,3,1,0,0,24,36,66.7,1,1,0,0
Melanie Leupolz,CM,30-013,75,0,0,0,0,0,0,32,3,1,2,0,0,14,21,66.7,1,0,2,1
Agnes Beever-Jones,CM,20-275,15,0,0,0,0,0,0,6,0,0,0,0,0,1,3,33.3,0,0,1,0
Erin Cuthbert,CM,25-283,90,0,0,2,0,0,0,47,2,3,1,3,0,24,30,80.0,4,0,3,1
Ashley Lawrence,WB,28-321,83,0,0,1,0,0,0,39,1,3,1,2,0,21,27,77.8,4,3,2,1
Ève Périsset,WB,29-125,7,0,0,0,0,0,0,5,2,0,0,0,0,1,2,50.0,0,0,0,0
Johanna Rytting Kaneryd,WB,27-075,83,0,0,1,1,0,0,48,1,3,0,1,0,25,37,67.6,2,3,1,1
Millie Bright,CB,30-250,7,0,0,0,0,0,0,2,0,0,0,0,0,1,2,50.0,1,0,0,0
Niamh Charles,CB,24-311,90,0,0,0,0,1,0,62,2,2,2,0,0,34,50,68.0,5,1,0,0
Kadeisha Buchanan,CB,28-174,58,0,0,0,0,2,1,26,1,1,3,0,0,12,15,80.0,2,0,1,0
Jess Carter,CB,26-183,90,0,0,0,0,0,0,52,2,3,1,0,0,24,40,60.0,4,0,1,0
Hannah Hampton,GK,23-163,90,0,0,0,0,0,0,36,1,0,0,0,0,16,35,45.7,0,0,0,0
16 Players,FW,23-163,958,0,0,6,2,3,1,474,17,19,13,9,0,238,356,66.9,30,12,18,9
Salma Paralluelo,"LW,LB",20-166,90,0,0,2,0,0,0,35,1,0,0,1,0,18,23,78.3,1,2,4,2
Fridolina Rolfö,RW,30-155,90,1,0,4,0,0,0,81,4,4,1,2,0,46,61,75.4,2,2,3,2
Caroline Graham Hansen,RW,29-069,90,0,0,2,1,0,0,42,1,0,1,5,0,21,31,67.7,3,3,6,5
Claudia Pina,LM,22-259,85,0,0,0,0,0,0,9,0,0,0,0,0,7,9,77.8,0,0,0,0
Patricia Guijarro,CM,25-346,5,0,1,3,0,0,0,86,0,1,2,5,1,64,78,82.1,7,2,1,0
Keira Walsh,RM,27-019,90,0,0,0,0,0,0,74,1,1,0,1,1,65,69,94.2,9,0,1,1
Aitana Bonmatí,RM,26-100,90,1,0,1,1,0,0,78,2,0,3,5,1,56,64,87.5,3,5,1,1
Alexia Putellas,LB,30-083,89,0,0,0,0,0,0,9,2,0,0,0,0,6,6,100.0,1,0,1,0
Ona Batlle,LW,24-322,1,0,0,2,1,0,0,58,2,0,4,4,0,35,47,74.5,5,3,1,1
Mariona Caldentey,CB,28-039,66,0,0,0,0,0,0,36,1,0,0,1,0,27,35,77.1,6,0,0,0
Ingrid Syrstad Engen,CB,25-364,24,0,0,0,0,0,0,74,1,0,1,0,0,62,70,88.6,6,1,0,0
Irene Paredes,RB,32-298,90,0,0,0,0,0,0,110,0,1,0,2,0,99,106,93.4,9,0,0,0
Lucy Bronze,GK,32-182,90,0,0,0,0,0,0,109,0,2,2,2,1,83,104,79.8,11,3,0,0
Mariona Caldentey,FW,28-043,90,1,2,3,2,0,0,93,2,1,1,7,4,78,82,95.1,15,5,2,1
Claudia Pina,LW,22-263,90,1,1,6,6,0,0,85,4,1,2,17,4,65,71,91.5,7,2,2,2
Bruna Vilamala,RW,21-332,72,0,0,3,1,0,0,51,1,0,1,3,0,33,41,80.5,3,1,3,0
